date,team,score,suf_score,rank,rank_suf,rank_change,total_points,result,rank_dif,points_by_rank,team_points
2023-09-10,Gambia,2,2,119.0,106.0,0.0,1159.82,2,13.0,0.009433962264150943,1
2023-09-10,Republic of Ireland,1,2,53.0,7.0,0.0,1426.26,1,46.0,0.0,0
2023-09-10,Greece,5,0,50.0,198.0,0.0,1441.06,0,-148.0,0.015151515151515152,3
2023-09-10,Faroe Islands,0,1,129.0,164.0,0.0,1126.3,1,-35.0,0.0,0
2023-09-10,Albania,2,0,65.0,26.0,0.0,1357.39,0,39.0,0.11538461538461539,3
2023-09-10,Montenegro,2,1,71.0,77.0,0.0,1343.45,0,-6.0,0.03896103896103896,3
2023-09-10,Lithuania,1,3,144.0,25.0,0.0,1069.97,1,119.0,0.0,0
2023-09-10,Finland,0,1,55.0,19.0,0.0,1419.47,1,36.0,0.0,0
2023-09-10,Kazakhstan,1,0,104.0,64.0,0.0,1198.24,0,40.0,0.046875,3
2023-09-10,San Marino,0,4,208.0,61.0,0.0,753.11,1,147.0,0.0,0
2023-09-10,Lebanon,1,0,100.0,99.0,4.029999999999973,1205.77,0,1.0,0.030303030303030304,3
2023-09-10,Thailand,2,2,113.0,70.0,0.0,1174.37,2,43.0,0.014285714285714285,1
2023-09-11,Dominican Republic,3,0,152.0,179.0,0.0,1036.74,0,-27.0,0.01675977653631285,3
2023-09-11,Nicaragua,5,1,141.0,166.0,0.0,1076.11,0,-25.0,0.018072289156626505,3
2023-09-11,Cayman Islands,1,2,193.0,199.0,0.0,859.83,1,-6.0,0.0,0
2023-09-11,Cambodia,4,0,176.0,182.0,0.0,942.97,0,-6.0,0.016483516483516484,3
2023-09-11,Myanmar,1,0,160.0,175.0,0.0,1000.26,0,-15.0,0.017142857142857144,3
2023-09-11,Vietnam,2,0,95.0,96.0,0.0,1238.23,0,-1.0,0.03125,3
2023-09-11,Guinea-Bissau,2,1,112.0,120.0,0.0,1178.93,0,-8.0,0.025,3
2023-09-11,Armenia,0,1,90.0,6.0,0.0,1252.6,1,84.0,0.0,0
2023-09-11,Latvia,0,2,134.0,35.0,0.0,1096.19,1,99.0,0.0,0
2023-09-11,Iceland,1,0,67.0,62.0,0.0,1352.98,0,5.0,0.04838709677419355,3
2023-09-11,Portugal,9,0,9.0,89.0,0.0,1718.25,0,-80.0,0.033707865168539325,3
2023-09-11,Slovakia,3,0,47.0,200.0,0.0,1447.05,0,-153.0,0.015,3
2023-09-12,Cuba,1,0,172.0,143.0,-16.550000000000068,968.29,0,29.0,0.02097902097902098,3
2023-09-12,Jamaica,2,2,58.0,87.0,41.90000000000009,1409.73,2,-29.0,0.011494252873563218,1
2023-09-12,Honduras,4,0,79.0,174.0,12.809999999999944,1309.23,0,-95.0,0.017241379310344827,3
2023-09-12,Guyana,3,2,168.0,197.0,0.0,981.69,0,-29.0,0.015228426395939087,3
2023-09-12,Puerto Rico,5,0,163.0,132.0,0.0,993.8,0,31.0,0.022727272727272728,3
2023-09-12,Turks and Caicos Islands,0,3,202.0,184.0,0.0,839.39,1,18.0,0.0,0
2023-09-12,Bolivia,0,3,83.0,1.0,0.0,1295.09,1,82.0,0.0,0
2023-09-12,Ecuador,2,1,40.0,16.0,0.0,1486.47,0,24.0,0.1875,3
2023-09-12,Venezuela,1,0,57.0,49.0,0.0,1417.23,0,8.0,0.061224489795918366,3
2023-09-12,Peru,0,1,21.0,3.0,0.0,1561.2,1,18.0,0.0,0
2023-09-12,Chile,0,0,32.0,17.0,0.0,1511.31,2,15.0,0.058823529411764705,1
2023-09-12,Azerbaijan,2,1,121.0,82.0,0.0,1143.22,0,39.0,0.036585365853658534,3
2023-09-12,Bahrain,1,1,86.0,138.0,0.0,1282.05,2,-52.0,0.007246376811594203,1
2023-09-12,China PR,0,1,80.0,94.0,0.0,1304.78,1,-14.0,0.0,0
2023-09-12,Egypt,1,3,34.0,31.0,0.0,1509.89,1,3.0,0.0,0
2023-09-12,Germany,2,1,15.0,2.0,0.0,1636.32,0,13.0,1.5,3
2023-09-12,Ghana,3,1,60.0,148.0,0.0,1391.13,0,-88.0,0.02027027027027027,3
2023-09-12,Iran,4,0,22.0,116.0,0.0,1556.59,0,-94.0,0.02586206896551724,3
2023-09-12,Kenya,0,1,105.0,167.0,0.0,1191.07,1,-62.0,0.0,0
2023-09-12,South Korea,1,0,28.0,54.0,0.0,1529.3,0,-26.0,0.05555555555555555,3
2023-09-12,Mexico,3,3,12.0,74.0,26.399999999999864,1665.59,2,-62.0,0.013513513513513514,1
2023-09-12,Morocco,1,0,14.0,56.0,0.0,1655.5,0,-42.0,0.05357142857142857,3
2023-09-12,Philippines,2,1,135.0,157.0,0.0,1095.66,0,-22.0,0.01910828025477707,3
2023-09-12,Scotland,1,3,30.0,4.0,0.0,1520.24,1,26.0,0.0,0
2023-09-12,Senegal,0,1,18.0,33.0,0.0,1612.61,1,-15.0,0.0,0
2023-09-12,South Africa,1,0,63.0,69.0,-1.240000000000009,1368.25,0,-6.0,0.043478260869565216,3
2023-09-12,United Arab Emirates,4,1,72.0,46.0,0.0,1336.28,0,26.0,0.06521739130434782,3
2023-09-12,United States,4,0,11.0,73.0,1.1400000000001,1674.48,0,-62.0,0.0410958904109589,3
2023-09-12,Cameroon,3,0,42.0,140.0,0.0,1470.97,0,-98.0,0.02142857142857143,3
2023-09-12,Norway,2,1,44.0,78.0,0.0,1458.47,0,-34.0,0.038461538461538464,3
2023-09-12,Spain,6,0,10.0,118.0,0.0,1703.45,0,-108.0,0.025423728813559324,3
2023-09-12,Italy,2,1,8.0,24.0,0.0,1726.58,0,-16.0,0.125,3
2023-09-12,Malta,0,2,171.0,68.0,0.0,972.86,1,103.0,0.0,0
2023-09-12,Belgium,5,0,5.0,111.0,0.0,1788.55,0,-106.0,0.02702702702702703,3
2023-09-12,Sweden,1,3,23.0,29.0,0.0,1547.11,1,-6.0,0.0,0
