home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Israel,Switzerland,1,63.0,-2.0,-2.0,-1.0,-1.0,-0.014317527565042638,-35.33333333333333,-35.33333333333333,0.004195555063838159,0.004195555063838159,1,0
British Virgin Islands,Dominica,1,22.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.00040016006402560957,-8.0,-8.0,-0.001440672771371691,-0.001440672771371691,1,0
Costa Rica,Panama,1,1.0,0.0,0.0,1.75,1.75,0.010966810966810965,-33.25,-33.25,0.0008731115342138843,0.0008731115342138843,1,0
United States,Trinidad and Tobago,0,-91.0,0.5,0.5,-1.5,-1.5,0.02612109316019931,-34.0,-34.0,0.007377034670755071,0.007377034670755071,1,0
Bolivia,Peru,0,62.0,0.6,0.6,1.35,1.35,0.021739130434782608,6.350000000000001,6.350000000000001,-0.00510204081632653,-0.00510204081632653,1,0
Venezuela,Ecuador,1,17.0,0.25,0.25,-0.25,-0.25,0.015316916307015316,-4.0,-4.0,0.05145992885105849,0.05145992885105849,1,0
Colombia,Brazil,0,14.0,-1.0,-1.0,-0.5,-0.5,-0.018858367426456267,-8.0,-8.0,-0.006291000468037565,-0.006291000468037565,1,0
Argentina,Uruguay,1,-15.0,-0.25,-0.25,-1.25,-1.25,-0.050687091687316964,25.25,25.25,-0.20933682961136263,-0.20933682961136263,1,0
Chile,Paraguay,1,-17.0,0.5,0.5,1.0,1.0,0.02085418752085419,-12.75,-12.75,0.029479261584151734,0.029479261584151734,1,0
Qatar,Afghanistan,0,-98.0,-0.30000000000000004,-0.30000000000000004,0.4,0.4,0.0011636600032504472,-88.30000000000001,-88.30000000000001,-0.0015309220227253022,-0.0015309220227253022,1,0
Kuwait,India,1,38.0,0.6666666666666667,0.6666666666666667,-0.5,-0.5,0.008076563958916903,-1.0,-1.0,0.015123347706227468,0.015123347706227468,1,0
Japan,Myanmar,0,-140.0,2.5,2.5,0.75,0.75,0.1295276731382208,-149.5,-149.5,0.12367492972144137,0.12367492972144137,1,0
Thailand,China PR,1,33.0,0.25,0.25,2.0,2.0,0.0039025139450297053,-10.0,-10.0,0.0035907086874579115,0.0035907086874579115,1,0
South Korea,Singapore,0,-130.0,1.75,1.75,-1.0,-1.0,0.04534883720930233,-118.25,-118.25,0.0432678145121796,0.0432678145121796,1,0
Turkmenistan,Uzbekistan,1,64.0,-1.25,-1.25,-0.25,-0.25,-0.031116247217942133,68.5,68.5,-0.03228911668706651,-0.03228911668706651,1,0
Iraq,Indonesia,0,-80.0,-0.6666666666666667,-0.6666666666666667,1.3333333333333333,1.3333333333333333,0.00026739397828760836,-47.66666666666667,-47.66666666666667,-0.009772557046280316,-0.009772557046280316,1,0
Philippines,Vietnam,1,40.0,0.5,0.5,-1.5,-1.5,0.001036208070580573,52.0,52.0,0.0017416401273885346,0.0017416401273885346,1,0
Tajikistan,Jordan,1,28.0,1.5,1.5,-4.0,-4.0,0.006597621787495205,75.5,75.5,0.0189873417721519,0.0189873417721519,1,0
Saudi Arabia,Pakistan,0,-147.0,0.5,0.5,2.25,2.25,0.021549334811529933,-135.0,-135.0,-0.004953379953379954,-0.004953379953379954,1,0
